Date,Adj Close,Volume
2023-03-02,62.15462875366211,3244700
2023-03-03,62.54254913330078,3574000
2023-03-06,62.35829162597656,3483800
2023-03-07,61.97036361694336,3548000
2023-03-08,62.59104537963867,2807300
2023-03-09,61.524253845214844,3414300
2023-03-10,59.52646255493164,5725400
2023-03-13,60.89388656616211,6428000
2023-03-14,61.31090545654297,5061000
2023-03-15,61.155731201171875,5503300
2023-03-16,60.54475402832031,4573500
2023-03-17,59.52646255493164,7068400
2023-03-20,60.09865188598633,3943500
