Date,Adj Close,Volume
2023-03-02,127.12725067138672,821000
2023-03-03,126.73841857910156,1245500
2023-03-06,125.56195831298828,1190200
2023-03-07,122.05252838134766,951400
2023-03-08,122.60087585449219,639100
2023-03-09,119.2210464477539,1003000
2023-03-10,117.32675170898438,773900
2023-03-13,116.19017791748047,580000
2023-03-14,116.24002075195312,754900
2023-03-15,117.29684448242188,858600
2023-03-16,120.65672302246094,840800
2023-03-17,118.92195129394531,923800
2023-03-20,122.91991424560547,690500
