Date,Adj Close,Volume
2023-03-02,141.14999389648438,4621300
2023-03-03,141.89999389648438,4250300
2023-03-06,143.72000122070312,4498100
2023-03-07,142.8699951171875,4682100
2023-03-08,143.17999267578125,4393100
2023-03-09,141.08999633789062,5816500
2023-03-10,139.50999450683594,6332200
2023-03-13,139.72999572753906,6706400
2023-03-14,143.00999450683594,6487700
2023-03-15,144.4199981689453,7801500
2023-03-16,141.50999450683594,8213900
2023-03-17,142.4499969482422,9163900
2023-03-20,145.61000061035156,5601700
