Date,Adj Close,Volume
2023-03-02,37.25382995605469,2101500
2023-03-03,38.301841735839844,1853500
2023-03-06,38.82584762573242,4662500
2023-03-07,38.153541564941406,2229400
2023-03-08,37.520774841308594,1348300
2023-03-09,36.670501708984375,2065300
2023-03-10,36.51231384277344,2147000
2023-03-13,37.125301361083984,3378900
2023-03-14,37.69874572753906,2626200
2023-03-15,36.78914260864258,2208500
2023-03-16,37.016544342041016,1622000
2023-03-17,36.4628791809082,3143600
2023-03-20,36.571632385253906,2062500
