Date,Adj Close,Volume
2023-03-02,52.24015426635742,3211200
2023-03-03,53.01042556762695,3487300
2023-03-06,52.69441604614258,3397500
2023-03-07,51.95376968383789,2742000
2023-03-08,52.28953170776367,1835800
2023-03-09,51.45013427734375,2043700
2023-03-10,50.87736892700195,4109800
2023-03-13,51.05512237548828,3401000
2023-03-14,51.69701385498047,3291300
2023-03-15,50.9168701171875,4025800
2023-03-16,51.72663879394531,3332800
2023-03-17,51.4896354675293,9203200
2023-03-20,52.487037658691406,3610800
