Date,Adj Close,Volume
2023-03-02,353.98724365234375,2526000
2023-03-03,359.89080810546875,2174900
2023-03-06,365.2966613769531,2789400
2023-03-07,358.3377685546875,1660800
2023-03-08,357.43182373046875,1634400
2023-03-09,352.86224365234375,2414700
2023-03-10,345.56488037109375,3176400
2023-03-13,343.1755676269531,3308200
2023-03-14,351.2494812011719,3413300
2023-03-15,346.5305480957031,3082600
2023-03-16,346.450927734375,3768100
2023-03-17,348.1035461425781,8426800
2023-03-20,347.76507568359375,3864200
