company1,company2,correlation
A,MTD,0.8570763282649119
AAL,DAL,0.9244681636033563
AAL,UAL,0.928466280262403
ADI,AMAT,0.8631304518185171
ADI,KLAC,0.8682824193403608
ADI,LRCX,0.8580000907656944
ADI,MCHP,0.920059657068747
ADI,NVDA,0.8604095444350398
ADI,NXPI,0.8778139527873569
ADI,ON,0.8536040742230856
ADI,SWKS,0.8644415135129712
ADI,TXN,0.8980991647973195
ADP,PAYX,0.8740008228121667
ADSK,ANSS,0.8593319440617508
AEE,AEP,0.8997280484082937
AEE,ATO,0.861402792853278
AEE,CMS,0.9225349229038412
AEE,CNP,0.8685646722253134
AEE,DTE,0.8958781210858449
AEE,DUK,0.8970539956699612
AEE,ED,0.8834600996209147
AEE,ES,0.8950994517862575
AEE,ETR,0.8567765747004393
AEE,EVRG,0.8613179624171134
AEE,LNT,0.9192397929752334
AEE,NI,0.8585965480911572
AEE,PEG,0.8684204093483121
AEE,SO,0.8628177704928672
AEE,WEC,0.9123069048271749
AEE,XEL,0.9201640372086438
AEP,AEE,0.8997280484082937
AEP,CMS,0.895222118618794
AEP,DTE,0.8650419875725327
AEP,DUK,0.8806232819587929
AEP,ED,0.8602794206460554
AEP,ES,0.884550926418728
AEP,ETR,0.8519432522062297
AEP,LNT,0.8797337003523482
AEP,NI,0.8627345379261645
AEP,SO,0.8818217314358507
AEP,WEC,0.873142755705096
AEP,XEL,0.9058055407775358
AFL,MET,0.8582760946980331
AFL,PRU,0.8582874008493783
AJG,MMC,0.8694872751556117
AMAT,ADI,0.8631304518185171
AMAT,KLAC,0.9375490408654605
AMAT,LRCX,0.9456410126725321
AMAT,MCHP,0.8952668664844821
AMAT,NVDA,0.8616515842393276
AMAT,NXPI,0.8541999090732676
AMAT,ON,0.858148049617143
AMAT,SWKS,0.863436926163956
AMAT,TER,0.8644356698025772
AMD,NVDA,0.8873424765129337
AME,ETN,0.8537544868296378
AMP,RJF,0.8555855456724677
AMT,CCI,0.8802799295718664
AMT,SBAC,0.8651318921829189
ANSS,ADSK,0.8593319440617508
ANSS,CDNS,0.8679881719720697
ANSS,SNPS,0.8646196816911972
ANSS,TYL,0.871493830663449
AON,MMC,0.8557560682964472
APA,COP,0.854625476782708
APA,EOG,0.8542468148264964
APA,FANG,0.8568332947186389
APA,HES,0.8683270065755747
APA,MRO,0.8932769220944167
APH,TEL,0.8739261818904006
ATO,AEE,0.861402792853278
AVB,CPT,0.8721841712371229
AVB,EQR,0.958018050388664
AVB,ESS,0.9186976904726616
AVB,MAA,0.8913669164649337
AVB,UDR,0.9398941407610659
AVGO,MCHP,0.8707368370672365
AVGO,SWKS,0.8511146208893576
BAC,JPM,0.8983763554398263
BAC,WFC,0.865478008964813
BEN,IVZ,0.879089499319406
BEN,TROW,0.8545588363060675
BK,STT,0.8922373420550189
CCI,AMT,0.8802799295718664
CCI,SBAC,0.8810593367036714
CCL,NCLH,0.9267797445744476
CCL,RCL,0.9048862671333738
CDAY,PAYC,0.8674630539391023
CDNS,ANSS,0.8679881719720697
CDNS,SNPS,0.9234698118839926
CFG,CMA,0.8524224115952559
CFG,FITB,0.9332395307106895
CFG,HBAN,0.8834302473221727
CFG,KEY,0.9327866379921979
CFG,PNC,0.8589923245686373
CFG,RF,0.885711638498048
CFG,ZION,0.8571697141112135
CMA,CFG,0.8524224115952559
CMA,FITB,0.8878656972853212
CMA,KEY,0.8685662022240301
CMA,RF,0.8628176632624909
CMA,ZION,0.8956529430198596
CMS,AEE,0.9225349229038412
CMS,AEP,0.895222118618794
CMS,DTE,0.9009612843748748
CMS,DUK,0.9058437257765302
CMS,ED,0.8793274038136804
CMS,ES,0.9003534946215983
CMS,ETR,0.851791964904982
CMS,LNT,0.9012343451341478
CMS,SO,0.8624310264153003
CMS,WEC,0.9268572668435653
CMS,XEL,0.9294303958059276
CNP,AEE,0.8685646722253134
CNP,ES,0.8515833994423267
COF,DFS,0.8833867570522959
COF,SYF,0.9009219184340684
COP,APA,0.854625476782708
COP,CVX,0.8592318092440427
COP,DVN,0.8517449333768565
COP,EOG,0.9037960273689084
COP,FANG,0.8765129244348142
COP,HES,0.8674274516515051
COP,MRO,0.8971989347530811
COP,PXD,0.8738874897099336
COP,XOM,0.8717646828324288
CPT,AVB,0.8721841712371229
