Date,Adj Close,Volume
2023-03-02,31.745962142944336,1307200
2023-03-03,32.39424133300781,2313600
2023-03-06,31.37271499633789,2638800
2023-03-07,30.69496726989746,2167400
2023-03-08,30.891416549682617,2000900
2023-03-09,30.16455841064453,1718800
2023-03-10,29.28054428100586,2017300
2023-03-13,27.9250545501709,4338000
2023-03-14,27.836652755737305,3337700
2023-03-15,27.041040420532227,2856100
2023-03-16,27.29642105102539,3172600
2023-03-17,26.589208602905273,6977300
2023-03-20,27.866121292114258,3043300
