Company,Cluster_Label
IBM,3
ICE,1
IDXX,1
IEX,1
IFF,1
ILMN,1
INCY,3
INTC,1
INTU,1
INVH,1
IP,1
IPG,1
IQV,1
IR,1
IRM,1
ISRG,1
IT,1
ITW,1
IVZ,1
J,1
JBHT,1
JCI,1
JKHY,1
JNJ,3
JNPR,1
JPM,1
K,3
KDP,3
KEY,1
KEYS,1
KHC,3
KIM,1
KLAC,1
KMB,3
KMI,2
KMX,1
KO,3
KR,1
L,1
LDOS,3
LEN,1
LH,1
LHX,3
LIN,1
LKQ,1
LLY,3
LMT,3
LNT,3
LOW,1
LRCX,1
LULU,1
LUV,1
LVS,1
LW,1
LYB,1
LYV,1
MA,1
MAA,1
MAR,1
MAS,1
MCD,1
MCHP,1
MCK,3
MCO,1
MDLZ,3
MDT,1
MET,1
META,1
MGM,1
MHK,1
MKC,3
MKTX,1
MLM,1
MMC,1
MMM,1
MNST,1
MO,3
MOH,3
MOS,2
MPC,2
MPWR,1
MRK,3
MRNA,1
MRO,2
MS,1
MSCI,1
MSFT,1
MSI,1
MTB,1
MTCH,1
MTD,1
MU,1
NCLH,1
NDAQ,1
NDSN,1
NEE,1
NEM,1
NFLX,1
NI,3
NKE,1
NOC,3
NOW,1
NRG,1
NSC,1
NTAP,1
NTRS,1
NUE,1
NVDA,1
NVR,1
NWS,1
NWSA,1
NXPI,1
O,1
ODFL,1
OKE,2
OMC,1
ON,1
ORCL,1
ORLY,1
OTIS,1
OXY,2
PANW,1
PARA,1
PAYC,1
PAYX,1
PCAR,1
PCG,1
PEAK,1
PEG,3
PEP,3
PFE,3
PFG,1
PG,3
PGR,1
PH,1
PHM,1
PKG,1
PLD,1
PM,3
PNC,1
PNR,1
PNW,3
PODD,1
POOL,1
PPG,1
PPL,3
PRU,1
PSA,1
PSX,2
PTC,1
PWR,1
PXD,2
PYPL,1
QCOM,1
QRVO,1
RCL,1
REG,1
REGN,3
RF,1
RHI,1
RJF,1
RL,1
RMD,1
ROK,1
ROL,1
ROP,1
ROST,1
RSG,1
RTX,3
RVTY,1
SBAC,1
SBUX,1
SCHW,1
SEDG,1
SEE,1
SHW,1
SJM,3
SLB,2
SNA,1
SNPS,1
SO,3
SPG,1
SPGI,1
SRE,3
STE,1
STLD,1
STT,1
STX,1
STZ,3
SWK,1
SWKS,1
SYF,1
SYK,1
SYY,1
T,3
TAP,3
TDG,1
TDY,1
TECH,1
TEL,1
TER,1
TFC,1
TFX,1
TGT,1
TJX,1
TMO,1
TMUS,1
TPR,1
TRGP,2
TRMB,1
TROW,1
TRV,1
TSCO,1
TSLA,1
TSN,3
TT,1
TTWO,1
TXN,1
TXT,1
TYL,1
UAL,1
UDR,1
UHS,1
ULTA,1
UNH,3
UNP,1
UPS,1
URI,1
USB,1
V,1
VFC,1
VICI,1
VLO,2
VMC,1
VRSK,1
VRSN,1
VRTX,3
VTR,1
VTRS,1
VZ,3
WAB,1
WAT,1
WBA,1
WBD,1
WDC,1
WEC,3
WELL,1
WFC,1
WHR,1
WM,1
WMB,2
WMT,1
WRB,1
WRK,1
WST,1
WTW,1
WY,1
WYNN,1
XEL,3
XOM,2
XRAY,1
XYL,1
YUM,1
ZBH,1
ZBRA,1
ZION,1
ZTS,1
average,1
