,Adj Close 2023-03-02,Adj Close 2023-03-03,Adj Close 2023-03-06,Adj Close 2023-03-07,Adj Close 2023-03-08,Adj Close 2023-03-09,Adj Close 2023-03-10,Adj Close 2023-03-13,Adj Close 2023-03-14,Adj Close 2023-03-15,Adj Close 2023-03-16,Adj Close 2023-03-17,Adj Close 2023-03-20
LYV,72.45999908447266,72.97000122070312,72.5999984741211,70.25,70.25,68.1500015258789,66.6500015258789,66.97000122070312,67.62999725341797,67.02999877929688,67.66000366210938,66.33999633789062,68.02999877929688
MA,353.98724365234375,359.8908386230469,365.2966613769531,358.3377990722656,357.43182373046875,352.8622741699219,345.56488037109375,343.1755676269531,351.24945068359375,346.5305480957031,346.450927734375,348.103515625,347.76507568359375
MAA,154.00439453125,156.56686401367188,156.9006805419922,149.14450073242188,153.0814971923828,150.1262969970703,146.33656311035156,148.74195861816406,148.64376831054688,148.08416748046875,146.70962524414062,142.64501953125,143.8918914794922
MAR,169.94174194335938,172.09959411621094,174.13809204101562,172.59678649902344,172.46751403808594,166.78952026367188,163.6074676513672,159.65972900390625,161.7777862548828,157.44224548339844,160.22653198242188,157.87977600097656,162.1258087158203
MAS,51.536041259765625,52.347476959228516,51.397499084472656,50.59596252441406,50.813663482666016,50.51679611206055,49.576717376708984,49.72515106201172,50.14076232910156,49.63609313964844,49.91316604614258,48.804866790771484,49.60641098022461
MCD,264.7339172363281,266.218017578125,267.7713623046875,264.2985534667969,262.5176086425781,258.8568420410156,259.2525939941406,260.29144287109375,263.0815734863281,263.51690673828125,267.70208740234375,264.3677978515625,267.8702697753906
MCHP,80.23712921142578,81.7715835571289,81.14790344238281,81.28649139404297,83.67231750488281,82.42496490478516,80.75191497802734,80.4648208618164,82.40516662597656,79.70254516601562,81.42509460449219,79.9005355834961,81.4646987915039
MCK,346.3418273925781,344.6766357421875,346.8902893066406,336.360595703125,337.307861328125,335.0045166015625,335.2338562011719,334.4361572265625,335.5329895019531,334.38629150390625,338.94317626953125,338.37481689453125,344.2578430175781
MCO,288.94500732421875,297.18524169921875,302.02191162109375,292.07989501953125,292.7068786621094,293.63238525390625,283.7202453613281,283.9391784667969,291.61212158203125,291.3832702636719,296.5184631347656,292.83624267578125,290.0397644042969
MDLZ,64.26797485351562,64.61213684082031,64.58263397216797,63.727169036865234,64.00248718261719,63.67800521850586,63.8156623840332,64.4449691772461,65.18244171142578,65.29059600830078,65.82157897949219,65.29059600830078,66.598388671875
MDT,80.23780059814453,81.35952758789062,79.91590881347656,77.77973937988281,76.4726791381836,76.08251953125,74.833984375,76.06301879882812,75.94596099853516,76.48243713378906,77.32129669189453,76.36538696289062,77.65293884277344
MET,68.16730499267578,69.09074401855469,68.46202087402344,68.0101318359375,66.31060791015625,63.53047561645508,61.280826568603516,57.92108917236328,58.029151916503906,55.307960510253906,56.673465728759766,53.90315628051758,55.97597885131836
META,174.52999877929688,185.25,184.89999389648438,184.50999450683594,184.97000122070312,181.69000244140625,179.50999450683594,180.89999389648438,194.02000427246094,197.75,204.92999267578125,195.61000061035156,197.80999755859375
MGM,45.27000045776367,45.90999984741211,45.290000915527344,44.81999969482422,45.18000030517578,43.18000030517578,42.68000030517578,41.7400016784668,42.33000183105469,41.040000915527344,41.95000076293945,41.25,41.790000915527344
MHK,103.41999816894531,106.43000030517578,102.06999969482422,100.41999816894531,101.55000305175781,100.19999694824219,97.87000274658203,97.0,97.16000366210938,94.54000091552734,96.48999786376953,94.3499984741211,95.06999969482422
MKC,71.94359588623047,71.80570983886719,72.13075256347656,71.04725646972656,71.64810180664062,70.91921997070312,69.88497161865234,71.03741455078125,70.76161193847656,71.82540130615234,72.15045166015625,71.52991485595703,72.17999267578125
MKTX,352.98052978515625,367.645751953125,365.0589599609375,357.487548828125,357.2686462402344,351.5577697753906,344.97137451171875,362.4820861816406,369.6356201171875,377.9432678222656,386.3802795410156,387.7930603027344,384.6291809082031
MLM,361.6077575683594,364.408447265625,358.8070983886719,355.7373046875,362.15594482421875,353.0163269042969,339.88995361328125,332.6839294433594,336.26202392578125,324.1323547363281,330.1224365234375,319.53765869140625,323.7735595703125
MMC,160.13421630859375,161.89492797851562,163.46768188476562,160.50021362304688,160.49032592773438,157.10740661621094,155.49510192871094,153.5761260986328,155.55442810058594,152.408935546875,156.96893310546875,154.1102752685547,156.49415588378906
MMM,106.65936279296875,107.97925567626953,106.6884765625,103.93222045898438,104.00016021728516,102.40850830078125,100.99156951904297,100.44807434082031,99.74931335449219,99.74931335449219,101.13713836669922,99.98223114013672,101.23419189453125
MNST,51.07500076293945,51.005001068115234,51.9900016784668,51.61000061035156,51.560001373291016,51.0,50.084999084472656,50.15999984741211,50.81999969482422,51.17499923706055,51.70000076293945,51.494998931884766,52.275001525878906
MO,43.58241653442383,43.64807891845703,44.2672004699707,43.666839599609375,43.9013557434082,43.84507369995117,43.72312545776367,43.78879165649414,43.84507369995117,43.967018127441406,43.31037521362305,42.513023376464844,43.21657180786133
MOH,277.8299865722656,280.6000061035156,280.989990234375,276.3999938964844,269.4800109863281,264.2300109863281,261.3500061035156,263.69000244140625,261.1400146484375,260.6400146484375,263.7799987792969,263.7099914550781,265.1000061035156
MOS,56.07466506958008,56.2123908996582,55.30733108520508,53.27093505859375,53.45785140991211,51.68707275390625,48.28324508666992,46.807594299316406,46.06587219238281,44.24618148803711,44.05827713012695,42.6143913269043,43.12865447998047
MPC,128.10110473632812,131.9254608154297,130.3640899658203,128.6742706298828,126.36186218261719,126.86585235595703,127.03384399414062,122.32009887695312,126.2729263305664,121.24295806884766,123.68383026123047,122.2015151977539,124.7609634399414
MPWR,490.6849670410156,502.8989562988281,494.1335144042969,489.75079345703125,501.646728515625,489.62164306640625,475.9865417480469,483.291015625,490.6651306152344,473.6609802246094,494.8888244628906,485.28857421875,491.2812805175781
MRK,104.85104370117188,104.72366333007812,108.85852813720703,109.02509307861328,106.09541320800781,105.42913818359375,105.51732635498047,103.59687042236328,105.54053497314453,106.19171905517578,105.90559387207031,102.70889282226562,104.43550872802734
MRNA,137.86000061035156,143.1999969482422,144.02999877929688,141.0500030517578,142.0800018310547,137.36000061035156,138.2899932861328,147.89999389648438,151.27999877929688,149.60000610351562,151.77999877929688,150.02000427246094,154.52000427246094
