,Day 1,Day 2,Day 3,Day 4,Day 5,Stock
AOS Week 44,0.007355603224071583,-0.0032858763999061846,-0.016483475024421712,0.012476688257474056,0.029611930144942455,AOS
AOS Week 45,0.016613081685970865,-0.016517283943583205,-0.016437412249015182,0.07683922980672131,0.012145769830119946,AOS
AOS Week 46,-0.008166694641113303,0.014787449049495471,-0.009769832067410555,0.005016709713846046,0.019633949003907025,AOS
AOS Week 48,-0.03394766033136687,0.012215585298477993,0.004132914416647981,-0.004280575058374425,-0.001653413936474335,AOS
AOS Week 49,-0.0092746168165726,-0.007522580495405551,-0.0016843266956400038,-0.014341189172490054,-0.0020540728457015822,AOS
AOS Week 50,0.003602042662449234,0.014698353016958876,-0.008253290762758936,-0.03532611741376224,-0.013204225529472313,AOS
AOS Week 51,0.00017845024739715498,0.004994626693503479,0.015974467934707137,-0.017645040297237125,0.011915383053476836,AOS
ABT Week 2,-0.0022130647474239984,0.003253012415167733,-0.014590978423487111,-0.030436787967876633,-0.011492404971223058,ABT
ABT Week 4,-0.015973949828985923,-0.004441956494212529,-0.025959252335407412,0.0030815586534724826,0.040767153214759766,ABT
ABT Week 5,0.01683287304376946,-0.002039872415644295,0.022327015770654546,0.0005383522595598933,-0.0030742748029205513,ABT
ABT Week 6,-0.012797807232954983,0.004685598050974349,0.014302461593276306,-0.02092116822752843,-0.017767722561873756,ABT
ABT Week 7,-0.021595339314728457,0.009773616139170827,-0.002419769669582239,-0.02506467065388074,-0.03143142194372772,ABT
ABT Week 9,-0.014622995359662938,-0.02031176025409387,0.018532643440302365,0.005068133991843027,0.0036372855829229778,ABT
ABT Week 10,-0.021003236758435517,-0.023136462946984904,0.01963654092939171,-0.011740851396355168,-0.02547011416182554,ABT
ABT Week 11,0.013155587126490342,0.01696681761447083,0.017024173841087675,0.014395660721320036,0.010313531612825111,ABT
ABT Week 12,-0.0056349108142760285,0.0010676515369349993,-0.04077447900229625,0.007697584159883641,0.009590878088141741,ABT
ABT Week 13,0.008743177319961326,0.0016668437469580244,0.0015807871549411434,-0.016780168542569474,0.0018587463633714663,ABT
ABT Week 14,0.0025298989520230464,0.005047157784135781,0.0038500089684334604,0.028597634111700243,-0.0009727060380191332,ABT
ABT Week 16,-0.011895670803269143,0.03173103802868371,0.022170328040427734,0.005952408354261696,-0.03023428121822691,ABT
ABT Week 17,0.003092634139665984,-0.025331229575985326,-0.0021373001401299163,0.011052098201131066,-0.038217117656045185,ABT
ABT Week 18,-0.005903067567800124,-0.0035451698961934675,0.029084733916129535,-0.023249739697184912,-0.006548141573097244,ABT
ABT Week 19,-0.04346661975000021,-0.005959580904049466,-0.008524624469408715,0.02012476338351843,0.01769006215727087,ABT
ABT Week 20,-0.00154712571163651,0.04402517429004593,-0.0157150605672276,-0.0026609493351754665,0.007114864861197168,ABT
ABT Week 21,0.01580714367092062,-0.010953682948810384,-0.005097953931384791,0.014842302932588591,0.015843994526920868,ABT
ABT Week 23,-0.0012867935684276466,0.003951203330248454,-0.01873712237743641,-0.01726395775381684,-0.027326784278884797,ABT
ABT Week 24,-0.03393226018887463,-0.02804268830146095,0.018068783429554314,-0.02604964959385847,0.0045067021245026595,ABT
ABT Week 26,-0.003380494540922374,-0.019343606297509752,0.019912098991410776,-0.004124628364215122,0.014450066017258845,ABT
ABT Week 27,-0.008346925773509262,-0.005580975236228469,0.007360340458125947,-0.0021006094805593456,-0.003386442791028843,ABT
ABT Week 28,-0.005418278457137271,-0.019298281702599063,-0.0047076546870350455,0.029420117654777034,-0.01654110509838047,ABT
ABT Week 29,0.027191214290679167,-0.015464358623877406,0.022729363468277697,-0.013461066585058523,-0.006410228642899751,ABT
ABT Week 31,0.006247706064457681,-0.008035037257040356,0.008928582714955002,0.0010035636323240116,-0.004283642138844912,ABT
ABT Week 32,-0.0022883295194507935,-0.009999966402666316,0.02187001112840936,0.0019951140600398265,0.008960136775318928,ABT
ABT Week 33,0.0037674753883938372,0.0011617270030859217,-0.01321070912849609,-0.005336987345074262,0.0009094077387565846,ABT
ABT Week 34,-0.023714343705687035,-0.013401534229036338,-0.0053768482533537165,0.004267801003630112,-0.03768059199894169,ABT
ABT Week 35,-0.0005888634650612623,0.003534962915327844,0.004403176037907519,0.021334581387800533,-0.022319691144866205,ABT
ABT Week 36,0.0020487715558308306,0.019374918523102025,0.02187202466356708,0.013926586811052077,0.007466791422642283,ABT
ABT Week 37,-0.03156743113492422,-0.0005668703766977812,-0.006806591312270349,-0.010089449678528428,0.0008653494027943687,ABT
ABT Week 38,-0.017100574905572596,-0.01622515953794401,0.004172858048465233,-0.003858705756663916,-0.008343305172218707,ABT
ABT Week 40,0.02852412614615374,0.03577175751679751,0.0029103164244697055,-0.00899594050961372,-0.006442128378474021,ABT
ABT Week 41,-0.006483973437205193,0.006130750157427478,-0.01641275841715295,0.02388088874821359,-0.015223943983700972,ABT
ABT Week 42,0.02586456135405979,0.014103620181724397,-0.06544106045818954,-0.029558674017304276,-0.001575480803710727,ABT
ABT Week 43,0.03397857605606047,-0.0034591918213263684,0.004798379125539709,-0.01513917792613484,0.026410786655667096,ABT
ABT Week 44,-0.005528147895996427,0.0037395907424462305,-0.01278820535985914,-0.016217910571575067,0.016796296504305364,ABT
ABT Week 45,0.014581424590860426,0.0014070290416927644,-0.0018065064861338964,0.047959021881849306,-0.0013432506431331204,ABT
ABT Week 46,-0.01998265227052376,0.01107731820168878,0.004556924796242479,-0.01013418632923846,0.012773061809404407,ABT
ABT Week 48,-0.014678381715245714,-0.0037005350783476665,0.024571446010044573,0.003253378584904043,0.0014824055615902942,ABT
ABT Week 49,-0.024794086100285884,-0.014704515680753927,0.009146899120540786,0.0201316731180341,0.00551818160670825,ABT
ABT Week 50,0.018416851345887997,0.0186318472493312,-0.00242084323519709,-0.024627048719710665,-0.0148359107147088,ABT
ABT Week 51,-0.0029932402325055785,-0.0009381600296156645,0.015494427260574373,-0.0010172055758499443,0.00138851733383194,ABT
ABBV Week 2,0.01119509528597562,0.004252524625340648,0.0023362200670062894,-0.027460042232026693,0.017600290364964133,ABBV
ABBV Week 4,0.0013639031701586646,0.007036869325147244,0.008565627928595054,0.012962866337982604,0.014341376264879191,ABBV
ABBV Week 5,-0.00746808869613802,0.0008035693684127487,0.011824781877280977,0.015221473702749622,-0.0005684774638207157,ABBV
ABBV Week 6,0.013366547916071392,0.006875715540112681,-0.0021601112846463266,-0.003421719586712668,-0.004905137510327284,ABBV
ABBV Week 7,0.0069713789976690865,0.012307653893957715,0.007667868558112856,-0.006169835652365285,-0.006484116944823537,ABBV
ABBV Week 9,-0.0118362250443943,-0.0005413942528361693,0.012729398413805049,0.00561607472592951,0.0009972335139445399,ABBV
ABBV Week 10,-0.007372480262691217,-0.015389783196545381,0.011484896442436332,0.0022171582852335003,-0.0007374177897822021,ABBV
ABBV Week 11,0.020394529684108376,0.024852061982984397,0.0010905707186312785,0.01627679100583146,0.0038464003054259344,ABBV
ABBV Week 12,0.005339234420915107,-0.00024997528371761835,-0.009936856399446303,0.011740945788725421,0.006551054777606202,ABBV
ABBV Week 13,0.003967020283794698,0.0012964836296567306,0.009680647398704778,-0.010015263448234779,0.0035160820633128864,ABBV
ABBV Week 14,-0.0048561182794448765,0.009512590598176773,0.03353124415296027,0.025871736560549197,0.009695336717483016,ABBV
ABBV Week 16,-0.0181750785078858,-0.018888017666337853,0.0022385086732574777,0.011614597062308052,-0.02226847517130759,ABBV
ABBV Week 17,0.008452142152169495,-0.0007678206886331251,0.00922014668290827,-0.008311112797711906,-0.060328787813117124,ABBV
ABBV Week 18,0.006740129367267311,0.01169954043047805,0.013302073216481247,0.00389205324984343,0.0042713180875115775,ABBV
ABBV Week 19,-0.012235785479180139,0.007485357536882287,-0.0008546888497166227,0.015332893322733687,-0.005120184850016529,ABBV
ABBV Week 20,0.012833884173961696,-0.004438170939657593,-0.01518287971346044,-0.004657819912044947,-0.004679717296036445,ABBV
ABBV Week 21,-0.019733764889344196,0.007295830844833651,0.019113447064916578,-0.009147139564594342,-0.003785663123409222,ABBV
ABBV Week 23,-0.0043487082802959875,0.017812056453250458,0.0007375661177533299,-0.02559468893948913,-0.015333808979214991,ABBV
ABBV Week 24,-0.026396640082772538,-0.012910651810342344,0.0034152102701565656,0.007676135757148206,-0.006252210961896987,ABBV
ABBV Week 26,0.005251431475575163,-0.004244442334301768,0.01082034124891118,-0.006357828801216936,0.004178632634799007,ABBV
ABBV Week 27,0.0008451860952154444,-0.009095003982967365,-0.003474718308126068,0.005592145417866012,0.0024860294985273867,ABBV
ABBV Week 28,-0.005025054069968116,-0.0020334041960566873,-0.011238853261088644,0.021137946185688206,-0.026363676094894095,ABBV
ABBV Week 29,0.001136579264697124,-0.013690416565741326,0.0004062398104269782,0.004873104708650544,0.011786892878101307,ABBV
ABBV Week 31,-0.022925185785413027,0.001212367475861953,0.005769624347284452,-0.01614730048565527,-0.006334616285714967,ABBV
ABBV Week 32,0.016661860066816248,-0.0006412736229088889,0.004919803503787845,0.008088543847743823,0.0036599399335541793,ABBV
ABBV Week 33,-0.0021740028338972373,0.0018273229172351968,-0.007786745609177803,-0.0010605850727101185,0.003963570273860073,ABBV
ABBV Week 34,-0.010645115972170327,-0.00940567265123482,-0.007984466812244517,0.010296556676369972,-0.02138804053955634,ABBV
ABBV Week 35,-0.004693798027134322,-0.0011790115260014167,-0.00804128597086362,0.02967417845564868,-0.01567351546967921,ABBV
ABBV Week 36,0.009612544543057044,0.008140202091626358,0.013048788630855235,0.006404738607460603,0.005798383077612046,ABBV
ABBV Week 37,-0.0260827233590446,0.00736305696563222,0.021210973775330544,0.010876451557813027,-0.009718130780301815,ABBV
ABBV Week 38,-0.006238604842296214,-0.010298417647369718,0.019243083138923645,0.0003496472531885342,-0.0129315732999985,ABBV
ABBV Week 40,0.03062365252029231,0.026532663205713458,0.009437258159378903,-0.021209854922803806,-0.010905972289672272,ABBV
ABBV Week 41,-0.0032429876481439024,0.023136410995065804,-0.010811948545605854,0.021003018510793225,0.00013996832295859463,ABBV
ABBV Week 42,0.010284043623867367,0.0013157152315488307,-0.010165983116562138,-0.0013974163362532321,0.028895299058615986,ABBV
ABBV Week 43,0.02604380453310351,-0.0070912059762596735,0.017954792758726246,0.006491413866779094,-0.03837133152865435,ABBV
ABBV Week 44,-0.00819732205720436,0.0034836734077026144,-0.016268459125121204,-0.000691987964012819,0.005954858200077684,ABBV
ABBV Week 45,0.01941084352914113,0.002903394044971863,-0.0061267331151168,0.014225756489481878,0.002938835411560259,ABBV
ABBV Week 46,0.01052212168701061,0.008567205390191734,-0.007645048485841355,0.0019095842117997641,0.01853307043611685,ABBV
ABBV Week 48,-0.007455221637693854,-0.001451718349881781,0.0188368886537591,0.0027919855284797013,0.012559541656691042,ABBV
ABBV Week 49,0.0017108564892553968,-0.0013419617996025535,0.010261377127138704,0.0035671802808465713,-0.017651712980339518,ABBV
ABBV Week 50,0.013859988957824587,-0.0032059884745014866,0.0004248275203044827,-0.010675691497755713,-0.01606382757774827,ABBV
ABBV Week 51,0.006293680162727355,-0.005635046325810467,0.010150733990695882,0.006534723597315217,-0.0010412088227891303,ABBV
ACN Week 2,0.006068779501011479,0.005656797189175666,0.005545085897658231,-0.04194174612747392,-0.022165674720800888,ACN
ACN Week 4,0.010040804064476161,-0.01194686664592548,-0.015106724508689329,0.010518568459317867,0.02846778608399836,ACN
ACN Week 5,0.0312964278189638,-0.0004524383466442128,0.017118407456022,-0.03872371374652739,0.00564321306878357,ACN
ACN Week 6,-0.010187074949415509,0.0032271656492512957,0.030312664772543352,-0.03695886191313014,-0.03858179680333307,ACN
ACN Week 7,-0.009265410598549906,0.010057335204332052,0.013083991107369908,-0.032392417353027114,-0.005357563924028752,ACN
ACN Week 9,-0.020123470761944873,-0.01477749216032731,0.022418436909968698,0.0019477449845111128,-0.015018054120069069,ACN
ACN Week 10,-0.02909350185222148,-0.011146790436517895,0.025860415213906363,0.00032310639777288763,0.0066554588773353185,ACN
ACN Week 11,-0.012516830555738712,0.02778867171761945,0.027448352067244164,-0.016650775910659554,0.013928050726232488,ACN
ACN Week 12,0.0016977551234580446,0.009152546134678419,-0.021284396111769577,0.014945424477135427,0.007439462776558159,ACN
ACN Week 13,0.009245976193289929,0.030084091736171104,-0.00654557213404483,-0.0036340498132797494,0.010111803668172437,ACN
ACN Week 14,0.01124350166617516,-0.004789949460438536,-0.007467468362115315,0.004437721756038737,-0.0083388702272027,ACN
ACN Week 16,-0.01837416688502236,0.022225768766096277,0.009670293641601768,-0.00420185934043682,-0.03571099206605455,ACN
ACN Week 17,0.01936943297198601,-0.043305349736523224,0.0,0.035433817281768754,-0.04295185809209323,ACN
ACN Week 18,0.01411646343966333,0.0007222626930230014,0.03293739841907706,-0.05132431523963754,-0.009909681458615482,ACN
ACN Week 19,-0.027896125895797375,0.00034785942785031665,-0.023123175288306208,0.0009610201869638679,0.01977169278312041,ACN
ACN Week 20,-0.0020921840113083956,0.01712266717882982,-0.05809600177483609,-0.0020061945695942773,0.011110736843232383,ACN
ACN Week 21,0.02436298897759981,-0.014397180136728749,0.001181544136366064,0.04259037519900155,0.04321730965896298,ACN
ACN Week 23,-0.0007214337166635554,0.005906828103811268,-0.012690386410304288,-0.02382375635631595,-0.03188566883422084,ACN
ACN Week 24,-0.03325061865288603,-0.004990976068038,0.022063126751776796,-0.036594503558376235,0.01653750862777792,ACN
ACN Week 26,-0.02254734980156492,-0.03014150595104259,-0.014059162811823955,-0.0077195371178867545,0.010804970523854873,ACN
ACN Week 27,-0.019526030956449114,0.002798230098113752,0.012538926666904038,-0.0011810543288267583,-0.01505003080517986,ACN
ACN Week 28,-0.004365633611415176,-0.005481053555018378,-0.012859609168257236,0.010607717435887398,-0.010570106192229534,ACN
ACN Week 29,0.04239722652972122,0.005784870260520769,0.02254493368228938,0.0,0.004444285739716225,ACN
ACN Week 31,-0.004963166860777024,-0.007416090176772472,0.018811168456561056,0.007917616307598019,-0.004056467298115929,ACN
ACN Week 32,0.0031678695633259313,-0.001740012408430247,0.02159528150319967,-0.006509092160903451,0.019146328975828686,ACN
ACN Week 33,-0.0003433275131144997,0.0014048394652235174,-0.00726350327680092,0.003171547210964576,-0.013053224258733565,ACN
ACN Week 34,-0.016778230840030495,-0.010645121912802424,-0.0014346345741559352,0.01146078213323709,-0.03757621636596187,ACN
ACN Week 35,-0.01002914897999041,-0.008944956689733163,-0.013811995025373891,0.0011440653803636014,-0.016344059977992376,ACN
ACN Week 36,-0.002147413853671565,0.011641919177401316,0.004184620060635025,0.008994292314023378,0.01621071130800522,ACN
ACN Week 37,-0.04653532580609154,-0.010620880758239082,-0.016766644340650783,-0.004308744390920993,0.008434862741402593,ACN
ACN Week 38,-0.017237692059692278,-0.01783591245122651,-0.011679624544814748,-0.008920388352225306,-0.009385346327778099,ACN
ACN Week 40,0.029498745493823808,0.03556186488440671,0.00010936086749979701,-0.017751677415601352,-0.03621928126103835,ACN
ACN Week 41,-0.007161778186282164,-0.018886989570291002,-0.011502839957568733,0.029551661192532164,-0.01841058957388353,ACN
ACN Week 42,0.037591009631657624,0.006978821461927298,3.790860097607762e-05,-0.008634396729443883,0.029757844683502732,ACN
ACN Week 43,0.021293133799827224,0.019250981947507295,-0.002637077342233174,-0.0036802758325900076,0.03206140639369748,ACN
ACN Week 44,-0.013482538394852583,-0.008559326269895196,-0.03204600481242481,-0.057148124891208685,0.01666147110690619,ACN
ACN Week 45,0.030287959684452304,-0.00014869195314537453,-0.00962716555641574,0.0772406034517712,0.010696144664936513,ACN
ACN Week 46,-0.00406767792987528,0.012945173884491235,-0.003895384092379661,-0.014990892150499313,-0.002228928800540375,ACN
ACN Week 48,-0.01956811036573214,-0.009015812326769956,0.044968335285145544,0.006313740546730395,-0.008915833336104684,ACN
ACN Week 49,-0.024622711918866558,-0.02503923897243099,0.004484771952184996,0.019044931489001105,-0.0128016098323116,ACN
ACN Week 50,0.01362640902146195,0.010296263950643203,-0.013204651484305274,-0.03544352944650364,-0.059191748790130894,ACN
ACN Week 51,-0.034331581641960596,0.02545027468808203,0.026804198911225097,-0.015469297391014991,0.005023366532743934,ACN
ADM Week 2,0.0017189908434147583,0.007865051470864914,-0.0008513789036642683,0.006816293232243753,0.009167863355287187,ADM
ADM Week 4,-0.005076966798965521,-0.003207371381459989,0.05704247096405668,0.026705415730235105,0.023180610396829282,ADM
ADM Week 5,-0.012117995141386007,0.007066650390624929,0.015358184573774025,-0.01330035519610595,0.0005286231861409973,ADM
ADM Week 6,0.0035662960735169946,0.009344551896599329,0.007693262734492778,-0.010869518001540901,0.00039244869621590794,ADM
ADM Week 7,-0.004576938257277452,0.008933266955331476,0.0013020634133791287,-0.0032509752280807103,-0.0033920695506142184,ADM
ADM Week 9,-0.005703479961139402,-0.005863595951139944,0.029362751355980876,0.020553083594520682,0.010618854428675828,ADM
ADM Week 10,0.014130412147617344,-0.010003619805569963,-0.016239606865445788,0.030936644865019902,-0.008421291721414481,ADM
ADM Week 11,-0.01232055978584401,0.0029065988210796867,-0.016423145156951202,0.02860653061209195,0.00238725925699268,ADM
ADM Week 12,0.03786616072947835,0.004589190909571439,0.01747371884373372,0.01504101495529242,0.0338383008765577,ADM
ADM Week 13,-0.012193811270694521,-0.04883597412829721,0.01662120645191112,0.010750269335559226,0.010081941182999099,ADM
ADM Week 14,-0.008116681788215674,0.005197403727933203,0.021232126213180713,0.012388252754447215,0.013513477311157374,ADM
ADM Week 16,-0.0046435307051037045,-0.005494492891636282,0.023871582489756182,-0.02209324111154576,-0.04029154215119213,ADM
ADM Week 17,-0.01323498824760394,-0.003518026583608891,0.03618710063309494,-0.01501273488292143,-0.03188849323873688,ADM
ADM Week 18,-0.0027914248192831836,0.005038680886106706,0.015485732582078304,-0.019089389299412285,0.0035790144471252727,ADM
ADM Week 19,-0.05984623365298336,0.007230922308418153,-0.007179011434484184,0.0009483384361768099,0.011250555670002438,ADM
ADM Week 20,0.02096265286710297,0.016632220040908807,-0.04614686296555082,-0.00804353321281881,0.0016694417914320248,ADM
ADM Week 21,0.030595234462193144,0.013746129670801022,0.011508597108602192,-0.0051819207149714774,0.007020753750679898,ADM
ADM Week 23,0.005687634844400602,0.012555060909162252,-0.010165282247978302,-0.02968059175377913,-0.015119830204716744,ADM
